name;info
Firefly;['Firefly', 'Hulu', 'Adventure` Drama` Sci-Fi', 'Five hundred years in the future` a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.', '1', 'https://m.media-amazon.com/images/M/MV5BNGEzYjIzZGUtNWI5YS00Y2IzLWIzMTQtMGJhNDljZDkzYzM0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY268_CR0`0`182`268_AL_.jpg']
Fargo;['Fargo', 'Hulu', 'Crime` Drama` Thriller', 'Various chronicles of deception` intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo` North Dakota.', '4', 'https://m.media-amazon.com/images/M/MV5BMTg5NTYxNjkyNl5BMl5BanBnXkFtZTgwNzY1Mjg4MTI@._V1_UY268_CR1`0`182`268_AL_.jpg']
It's Always Sunny in Philadelphia;['It^s Always Sunny in Philadelphia', 'Hulu', 'Comedy', 'Five friends with big egos and slightly arrogant attitudes are the proprietors of an Irish pub in Philadelphia.', '14', 'https://m.media-amazon.com/images/M/MV5BOTExNGZkMWMtMmIwZC00YjA3LTgwM2ItZjQ2YmZkMzQ1YWZkXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX182_CR0`0`182`268_AL_.jpg']
Twin Peaks;['Twin Peaks', 'Hulu', 'Crime` Drama` Mystery', 'An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.', '2', 'https://m.media-amazon.com/images/M/MV5BMTExNzk2NjcxNTNeQTJeQWpwZ15BbWU4MDcxOTczOTIx._V1_UY268_CR13`0`182`268_AL_.jpg']
South Park;['South Park', 'Hulu', 'Animation` Comedy', 'Follows the misadventures of four irreverent grade-schoolers in the quiet` dysfunctional town of South Park` Colorado.', '24', 'https://m.media-amazon.com/images/M/MV5BOGE2YWUzMDItNTg2Ny00NTUzLTlmZGYtNWMyNzVjMjQ3MThkXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY268_CR0`0`182`268_AL_.jpg']
Letterkenny;['Letterkenny', 'Hulu', 'Comedy', 'Quick-witted` fast-paced snappy comedy about rural folk getting by in a small town.', '7', 'https://m.media-amazon.com/images/M/MV5BMzRjOWYyNDUtYTJhMC00ZmZmLThlYmYtOWJkMzk4MGQ2NDFhXkEyXkFqcGdeQXVyMjQyMDc5MA@@._V1_UX182_CR0`0`182`268_AL_.jpg']
The Simpsons;['The Simpsons', 'Hulu', 'Animation` Comedy', 'The satiric adventures of a working-class family in the misfit city of Springfield.', '32', 'https://m.media-amazon.com/images/M/MV5BYjFkMTlkYWUtZWFhNy00M2FmLThiOTYtYTRiYjVlZWYxNmJkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0`0`182`268_AL_.jpg']
The Shield;['The Shield', 'Hulu', 'Crime` Drama` Thriller', 'Follows the lives and cases of a dirty Los Angeles Police Department cop and the unit under his command.', '7', 'https://m.media-amazon.com/images/M/MV5BMTcwNzQwODI5NV5BMl5BanBnXkFtZTcwNzQxMjI5MQ@@._V1_UX182_CR0`0`182`268_AL_.jpg']
Young Justice;['Young Justice', 'Hulu', 'Animation` Action` Adventure', 'Teenage superheroes strive to prove themselves as members of the Justice League.', '3', 'https://m.media-amazon.com/images/M/MV5BZTNkOWIwODItYjcxOS00MDQ5LTk1ZGMtNDNhNzFhNTM4OGJiXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_UX182_CR0`0`182`268_AL_.jpg']
Vikings;['Vikings', 'Hulu', 'Action` Adventure` Drama', 'Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok` a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.', '6', 'https://m.media-amazon.com/images/M/MV5BNjIzZjljZmQtOGNiYi00YmY2LWE1MGYtN2VlMmEyZDBlMzRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0`0`182`268_AL_.jpg']
Line of Duty;['Line of Duty', 'Hulu', 'Crime` Drama` Mystery', 'DS Steve Arnott is transferred to the police anti-corruption unit after the death of a man in a mistaken shooting during a counter-terrorist operation.', '6', 'https://m.media-amazon.com/images/M/MV5BNjY4ZGMwMTctYWEzNy00NTM1LWE5MTYtNTNjZDM1NDc3YTI5XkEyXkFqcGdeQXVyNjg0NTcxMTg@._V1_UY268_CR6`0`182`268_AL_.jpg']
Archer;['Archer', 'Hulu', 'Animation` Action` Comedy', 'Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.', '11', 'https://m.media-amazon.com/images/M/MV5BMTg3NTMwMzY2OF5BMl5BanBnXkFtZTgwMDcxMjQ0NDE@._V1_UX182_CR0`0`182`268_AL_.jpg']
Taboo;['Taboo', 'Hulu', 'Drama` Mystery` Thriller', 'Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father^s shipping empire. However` both the government and his biggest competitor want his inheritance at any cost - even murder.', '2', 'https://m.media-amazon.com/images/M/MV5BMTYyNTQwNzk0OV5BMl5BanBnXkFtZTgwMDAyMDI2MDI@._V1_UX182_CR0`0`182`268_AL_.jpg']
Twin Peaks;['Twin Peaks', 'Hulu', 'Crime` Drama` Mystery', 'An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.', '2', 'https://m.media-amazon.com/images/M/MV5BMTExNzk2NjcxNTNeQTJeQWpwZ15BbWU4MDcxOTczOTIx._V1_UY268_CR13`0`182`268_AL_.jpg']
Brooklyn Nine-Nine;['Brooklyn Nine-Nine', 'Hulu', 'Comedy` Crime', 'Jake Peralta` an immature` but talented N.Y.P.D. detective in Brooklyn^s 99th Precinct` comes into immediate conflict with his new commanding officer` the serious and stern Captain Ray Holt.', '7', 'https://m.media-amazon.com/images/M/MV5BMGU3NGYyYTYtYjIzMS00ZmUwLTlmMjAtZDhhMzFiNWI0NzNkXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UY268_CR3`0`182`268_AL_.jpg']
Modern Family;['Modern Family', 'Hulu', 'Comedy` Romance', 'Three different but related families face trials and tribulations in their own uniquely comedic ways.', '11', 'https://m.media-amazon.com/images/M/MV5BNzkxZmIxY2YtODJjYS00MzIwLWIxNDQtNTliZTRlNDI0ZDRmXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX182_CR0`0`182`268_AL_.jpg']
Futurama;['Futurama', 'Hulu', 'Animation` Comedy` Sci-Fi', 'Philip J. Fry` a pizza delivery boy` is accidentally frozen in 1999 and thawed out on New Year^s Eve 2999.', '7', 'https://m.media-amazon.com/images/M/MV5BNzA2ZDk2ZTUtMWU2Yi00NDVmLTk1ODEtMmFmMjQyNWYzODI0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0`0`182`268_AL_.jpg']
