name;recs
The Wire;['Line of Duty', 'The Shield', 'Oz', 'Informer', 'Mindhunter', 'Tin Star']
Ballers;"[""Tom Clancy's Jack Ryan"", 'Brockmire', 'Togetherness', 'Line of Duty', '3%', 'Twin Peaks']"
True Blood;['The Leftovers', 'The OA', 'The Man in the High Castle', 'Goliath', 'Electric Dreams', '3%']
Band of Brothers;['The Pacific', 'True Detective', 'Rome', 'Line of Duty', 'Togetherness', '3%']
The Leftovers;['True Blood', 'The OA', 'Boardwalk Empire', 'Sex and the City', 'Fortitude', 'Chilling Adventures of Sabrina']
Deadwood;['Oz', 'Boardwalk Empire', 'Anne', 'Line of Duty', 'Togetherness', 'Twin Peaks']
Sex and the City;"['Togetherness', 'Boardwalk Empire', 'Line of Duty', ""It's Always Sunny in Philadelphia"", 'Entourage', '3%']"
Boardwalk Empire;['Line of Duty', 'The Leftovers', 'The Wire', 'Mindhunter', 'Letterkenny', 'Rome']
Curb Your Enthusiasm;['Workaholics', 'Rick and Morty', 'The Simpsons', 'South Park', 'BoJack Horseman', 'Brooklyn Nine-Nine']
Rome;['Line of Duty', 'John Adams', 'The Wire', 'Band of Brothers', 'Boardwalk Empire', 'Legion']
Entourage;"['Mad Dogs', ""It's Always Sunny in Philadelphia"", 'Alpha House', 'Sex and the City', 'Orange Is the New Black', 'One Mississippi']"
Veep;['Big Love', 'John Adams', 'Hand of God', 'The Crown', 'Sneaky Pete', 'One Mississippi']
Six Feet Under;['White Dragon', 'One Mississippi', 'Hand of God', 'Forever', 'Fargo', 'Brockmire']
Oz;['The Wire', 'Mindhunter', 'Tin Star', 'Informer', 'White Dragon', 'Deadwood']
The Newsroom;"['Alpha House', 'John Adams', 'Rome', 'Veep', ""Tom Clancy's Jack Ryan"", 'One Mississippi']"
The Pacific;['Band of Brothers', 'Game of Thrones', 'Prison Break', 'The Punisher', 'Vikings', 'Mirzapur']
Big Love;['Veep', 'Hand of God', 'Sneaky Pete', 'One Mississippi', 'Modern Family', 'Vikings']
John Adams;['Veep', 'Rome', 'The Haunting of Hill House', 'Line of Duty', 'Alpha House', 'Togetherness']
In Treatment;['Getting On', 'Letterkenny', 'Homecoming', 'Godless', 'Fearless', 'Mindhunter']
Togetherness;['White Dragon', 'Modern Family', 'Forever', 'Brockmire', 'Ozark', 'Sex and the City']
Getting On;['Futurama', 'Brooklyn Nine-Nine', 'Castlevania', 'Lore', 'Jean-Claude Van Johnson', 'Modern Family']
